,Host country,Year,Dates,Teams,Champions,Runners-up,Third place,Fourth place,Matches played,Goals scored,Attendance
0,Uruguay,1930,13–30 July 1930,13, Uruguay, Argentina, United States, Yugoslavia,18,70,"590,549"
1,Italy,1934,27 May – 10 June 1934,16, Italy, Czechoslovakia, Germany, Austria,17,70,"363,000"
2,France,1938,4–19 June 1938,15, Italy, Hungary, Brazil, Sweden,18,84,"374,835"
3,Brazil,1950,24 June – 16 July 1950,13, Uruguay, Brazil, Sweden, Spain,22,88,"1,045,246"
4,Switzerland,1954,16 June – 4 July 1954,16, West Germany, Hungary, Austria, Uruguay,26,140,"768,607"
5,Sweden,1958,8–29 June 1958,16, Brazil, Sweden, France, West Germany,35,126,"819,810"
6,Chile,1962,30 May – 17 June 1962,16, Brazil, Czechoslovakia, Chile, Yugoslavia,32,89,"893,172"
7,England,1966,11–30 July 1966,16, England, West Germany, Portugal, Soviet Union,32,89,"1,563,135"
8,Mexico,1970,31 May – 21 June 1970,16, Brazil, Italy, West Germany, Uruguay,32,95,"1,604,065"
9,West Germany,1974,13 June – 7 July 1974,16, West Germany, Netherlands, Poland, Brazil,38,97,"1,865,762"
10,Argentina,1978,1–25 June 1978,16, Argentina, Netherlands, Brazil, Italy,38,102,"1,545,791"
11,Spain,1982,13 June – 11 July 1982,24, Italy, West Germany, Poland, France,52,146,"2,109,723"
12,Mexico,1986,31 May – 29 June 1986,24, Argentina, West Germany, France, Belgium,52,132,"2,394,031"
13,Italy,1990,8 June – 8 July 1990,24, West Germany, Argentina, Italy, England,52,115,"2,516,215"
14,United States,1994,"June 17 – July 17, 1994",24, Brazil, Italy, Sweden, Bulgaria,52,141,"3,597,042"
15,France,1998,10 June – 12 July 1998,32, France, Brazil, Croatia, Netherlands,64,171,"2,785,100"
16,South KoreaJapan,2002,31 May – 30 June 2002,32, Brazil, Germany, Turkey, South Korea,64,161,"2,705,198"
17,Germany,2006,9 June – 9 July 2006,32, Italy, France, Germany, Portugal,64,147,"3,359,439"
18,South Africa,2010,11 June – 11 July 2010,32, Spain, Netherlands, Germany, Uruguay,64,145,"3,178,856"
19,Brazil,2014,12 June – 13 July,32, Germany, Argentina, Netherlands, Brazil,64,171,"3,429,873"
20,Russia,2018,14 June – 15 July,32, France, Croatia, Belgium, England,64,169,"3,031,768"
21,Qatar,2022,20 November – 18 December 2022,32, Argentina, France, Croatia, Morocco,64,172,"3,404,252"
